epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,5348.27,3.38669,1.3823,0.81405,0.41819,0.24978,0.29571,0.08738,3.33291,1.27353,0.79303,0.0027065,0.0027065,0.0027065
141,5375.57,3.53272,1.52166,0.82617,0.41819,0.24978,0.29571,0.08738,3.33291,1.27353,0.79303,0.00269,0.00269,0.00269
142,5406.92,3.46162,1.35242,0.79982,0.4012,0.24276,0.28304,0.08379,3.36474,1.29122,0.78484,0.0026735,0.0026735,0.0026735
143,5441.03,3.66396,1.64412,0.81089,0.4012,0.24276,0.28304,0.08379,3.36474,1.29122,0.78484,0.002657,0.002657,0.002657
144,5481.46,3.5438,1.32843,0.76188,0.4012,0.24276,0.28304,0.08379,3.36474,1.29122,0.78484,0.0026405,0.0026405,0.0026405
145,5512.24,3.52353,1.57844,0.79326,0.4012,0.24276,0.28304,0.08379,3.36474,1.29122,0.78484,0.002624,0.002624,0.002624
146,5552.12,3.33674,1.32763,0.79823,0.40732,0.24697,0.28958,0.08629,3.37448,1.28542,0.78896,0.0026075,0.0026075,0.0026075
147,5586.82,3.31398,1.24292,0.78202,0.40732,0.24697,0.28958,0.08629,3.37448,1.28542,0.78896,0.002591,0.002591,0.002591
148,5612.97,3.59699,1.4809,0.80601,0.40732,0.24697,0.28958,0.08629,3.37448,1.28542,0.78896,0.0025745,0.0025745,0.0025745
149,5661.31,3.67805,1.43703,0.76499,0.40209,0.24038,0.28107,0.08389,3.41456,1.28004,0.79987,0.002558,0.002558,0.002558
150,5690.59,3.36985,1.41334,0.80602,0.40209,0.24038,0.28107,0.08389,3.41456,1.28004,0.79987,0.0025415,0.0025415,0.0025415
151,5719.43,3.23505,1.31932,0.85772,0.40209,0.24038,0.28107,0.08389,3.41456,1.28004,0.79987,0.002525,0.002525,0.002525
152,5760.03,3.38869,1.2352,0.78224,0.40298,0.23948,0.2776,0.08315,3.41703,1.27672,0.80014,0.0025085,0.0025085,0.0025085
153,5791.8,3.27801,1.3394,0.82575,0.40298,0.23948,0.2776,0.08315,3.41703,1.27672,0.80014,0.002492,0.002492,0.002492
154,5820.56,3.47417,1.45889,0.83874,0.40298,0.23948,0.2776,0.08315,3.41703,1.27672,0.80014,0.0024755,0.0024755,0.0024755
155,5860.2,3.51578,1.31818,0.76754,0.41013,0.2445,0.28724,0.0849,3.38884,1.26666,0.79779,0.002459,0.002459,0.002459
156,5886.34,3.50806,1.54513,0.82469,0.41013,0.2445,0.28724,0.0849,3.38884,1.26666,0.79779,0.0024425,0.0024425,0.0024425
